"","real.all_comments.textOriginal"
"353","Ann Lord Scotland had one ONCE and straight after gun control came in and nothing else has happened. But you see America is a twisted money-loving country, and companies make millions on guns every year. Sad isn’t it?"
"354","Be overfilled with compassion mercy and understanding we can not let sin rule over our lives seeking out the destruction of others"
"355","How drunk will you be




*If he wasnt drunk I want to die...*"
"356","And i really missed her alot"
"357","That's mast up because my sister died there"
"358","Some days I disagreed with other students one time a student went up in front of the class and began talking about shooting his dogs with B.B. guns I was greatly displeased and all of my friends rebuked him"
"359","I will never understand why people behave in this way. I have loved my high school years I would get back rubs in class others would do my homework for me I was graceful and kind to everyone in the classroom building them up according to their needs"
"360","I wonder how many days of school they got off because of these."
"361","Now im scared to go to collage"
"362","what is wrong with him basically he is insulting his own kind and killing lives"
"363","Nikolas Cruz got whipped:/"
"364","What Assault Rifle?

1. AUG Rifle
2. M4A1 Rifle
3. AKM Rifle

I CAN'T SLEEP CUZ OF THINKING THIS VIDEO"
"365","Why does the SWAT team look so mean"
"366","R.I.P to all the students who did not make it
And God please help the injured one's"
"367","Heh heh... Nerds they screamin instead of stfu and hiding"
"368","To bad it wasn’t trump who got shot he needs to get shot boom our problems are solved"
"369","My dided at the school"
"370","THATS WHAT THE HELL YOU GET WHEN YOU F****** LET KIDS BUY GUNS"
"371","My sis was going there but I moved Back"
"372","it’s been month , and this still breaks my heart."
"373","I would’ve just pulled out a blunt and start smoking weed....shit if ima die ima die high lol"
"374","Im lucky i didnt study there.....and my school hasnt got any school shots for 20 years and my school was created 20 years sgo"
"375","After watching this it made me soo scared and made me cry RIP PEOPLE THAT DIED"
"376","Rawr xd"
"377","Rawr xd"
"378","❤️💔❤️"
"379","I was just next to it"
"380","Intruder : *Focus*
Me and my friend : *Goes on back and grabs gun*
My friend : *Throws gun away*
Me : c:
Me and my friend : *Punches intruder*
Me : *Keeps calm*
My classmates : OMG WERE SAFE
Me : *Humble*
My friend : *Humble too*
Intruder : I give up
Me and my friend : GOOD
*When police arrive*
Police : *Arrests* Good job intruder
Me : YES, GOOD FOR YOU
My friend : Last punch. *Punches*
Me : Hehehehehehe
Police : Good job kids.
Me and my friend : Its nothing
*THE END*
Hope you enjoy."
"381","in the class room when the girl who was picked up  was there a dead girl and im crying"
"382","I'm crying this is stupid why can't human kind just die"
"383","I go to plumbrook and we have more shoots near us I'm litterly afraid to go to school like children shouldn't be afraid to go to school like human mind is messed up as fuck"
"384","This is stupid like litterly kids shouldn't be so scared to go to school"
"385","If you see the killer punch him with all grades"
"386","STUIPED shooters so dumb"
"387","🤧🤧🤧😿😿😿😩😩😩😢😢😢😣😣😣😖😖😖😔😔😔😭😭😭"
"388","I think I saw the girl's friend from the story booth video but she got censored."
"389","On musical,ly there are some audios on the shooting of Parkland Florida. It’s disgusting and disrespectful for people that had to go through that."
"390","Those kids screaming were louder than the damn gunshots."
"391","3:19 the blur is a dead body also 1:45 shows a dead body with red blood around it :("
"392","Ha!"
"393","It sad 17 dead"
"394","fuck you all...today's society nobody communicates anymore, and less notice people in distress...thanks to facebook, and all fucking social media...don't expect less..."
"395","Something is wrong with you if you liked this video"
"396","18th shooting are you sure? 😂😂😂"
"397","ALLEGEDLY: THE PARENTS, OF THESE PARKLAND HIGH SCHOOL REPORTED, IN THE MEDIA, DECEASED, POSSIBLY, ARE RESPONSIBLE, FOR: ""THE CALIFORNIA FIRES& WTC DOWNINGS& WTO RIOTS"", AS THESE DESPOTIC PARENTS REGIMES OVERRUN THE OLD WORLD RICH ORDERS. THE REPORTED, IN THE MEDIA,   DECEASED LOOK LIKE ""MEAT CUTTERS' KIDS""."
"398","Whats wrong with this country 
Oh God"
"399","Those 17 people had dreams... 😭"
"400","Here is something very wrong,flase flagg,and fake news,this 17 people is nor dead.
https://www.lightonconspiracies.com/florida-obituaries-show-no-parkland-school-shooting-deaths/"
"401","This is sooo sad. I hope it never happen again...."
"402","THAT WAS HORIBLE"
"403",".. all the other kids with their pumped up kicks.. better run better run... outrun his gun..."
"404","Person: Lets ban guns?
Me: Did banning drugs work?
Person:........."
"405","God bless them😘😘"
"406","my sister died in this shooting and it’s still coming up everywhere i miss her so much but she is in a better place. She died holding her boyfriends hand and they both got killed"
"407","Kinder Eggs: Illegal
Guns: Legal
??"
"408","Yall niggas that comment ''it's not the gun it's the shooter'' So when a terrorist hijacks a plane and crashes it into the building it's not the terrorists fault it's the plane's fault"
"409","Fucking lesser being filth,
feed that thing to dogs alive and burn the dogs' shit."
"410","2:20 remember being rescued means having guns being pointed at you and being told to lay on the floor like a damn criminal"
"411","Someone need to kill this retarted butch wtf tgis fuck boi killingbprople stg i would show his bitch ass no mercy and kill his ass and his mom know what ut feel like to lose someone"
"412","THAT SCARY"
"413","My teacher sad that the police officer ran and do not try to save the kid but rather save himself he was suppose to protect them really sad"
"414","dam son imagine being stuck in the bathroom during the shooter"
"415","Now I hate school billion trillion times"
"416","KILL HIM PUT HIM IN THE CROSS JESUS DIED TO GIVE US A GOOD LIFE THEN THIS IS WHAT YOU WILL EXCHANGE"
"417","This worries me sooo much my school the other day had a lockdown and a kid saw a man on the fence line and it turns out he had a gun in his car which was near our school..."
"418","People may say that something was wrong with him but that’s not an excuse to go ahead and kill people that have done nothing to you and if you are sad you get someone to help you not turn to violence"
"419","Why they call him a shooter and not a terrorist ???"
